model,dataset,baseline,arrival_rate_rps,normalized_latency_mean,normalized_latency_p50,normalized_latency_p90,normalized_latency_p95,normalized_internal_latency_mean,normalized_internal_latency_p50,normalized_internal_latency_p90,normalized_internal_latency_p95,achieved_request_throughput_rps,achieved_output_throughput_tps,latency_from_arrival_mean_s,latency_internal_mean_s,input_tokens_mean,output_tokens_mean
qwen-1.8b,humaneval,AFD,0.6,6.337252148240805,6.295495204627514,6.835825276374816,6.896620352566242,5.467197312414646,5.805671244859695,6.184431551396847,6.21112347766757,0.18053160759462,2.88850572151392,101.39603437185288,87.47515699863433,121.95,16.0
qwen-1.8b,humaneval,AFD,0.8,6.48260857462883,6.4512917920947075,6.856539863348008,6.902121323347092,5.703893779963255,6.0819195210933685,6.4078690767288204,6.4487784370779995,0.1805652521744837,2.889044034791739,103.72173719406128,91.26230047941208,121.95,16.0
qwen-1.8b,humaneval,CPU-Attention,0.1,2.2535966403782366,2.3280950412154198,2.797623525559903,3.328618936240673,1.915075697749853,1.959826022386551,2.598483045399189,2.617541243880987,0.1432026702255334,2.2912427236085344,36.057546246051785,30.64121116399765,121.95,16.0
qwen-1.8b,humaneval,CPU-Attention,0.15,3.5997609280049803,3.5296426713466644,5.128099872171879,5.50803984105587,3.04122206941247,3.0854988172650337,4.147461158037186,4.208950074017048,0.1661837418934986,2.6589398702959777,57.596174848079684,48.65955311059952,121.95,16.0
qwen-1.8b,humaneval,CPU-Attention,0.2,4.7303250029683115,4.989527449011803,6.034050267934799,6.305626352131367,3.9849429368972777,4.307179689407349,5.1701965004205706,5.201834143698216,0.16793210088393126,2.6869136141429,75.68520004749298,63.759086990356444,121.95,16.0
qwen-1.8b,humaneval,CPU-Attention,0.25,5.411405219137668,5.645082324743271,6.972716155648231,7.026384440809489,4.49198167398572,4.589405231177807,5.627834628522396,5.7074973694980145,0.1704223450570553,2.726757520912885,86.58248350620269,71.87170678377151,121.95,16.0
qwen-1.8b,humaneval,CPU-Attention,0.3,5.970582939684391,6.051453359425068,7.132269547879696,7.203056225925684,4.831299909204245,5.043008513748646,5.817141439020634,5.89883857741952,0.16924672650509048,2.7079476240814477,95.52932703495026,77.30079854726792,121.95,16.0
qwen-1.8b,humaneval,CPU-Attention,0.35,6.350202388316393,6.278603173792362,7.204971709847451,7.30918118134141,5.051405636221171,5.337197072803974,5.957564944028854,5.984478621184826,0.16993222733824712,2.718915637411954,101.60323821306228,80.82249017953873,121.95,16.0
qwen-1.8b,humaneval,CPU-Attention,0.4,6.381237395107746,6.318606160581112,7.129142010211945,7.220321583002806,5.245433964580298,5.381602838635445,6.189927385747433,6.411830098927021,0.17214631206059636,2.7543409929695417,102.09979832172394,83.92694343328476,121.95,16.0
qwen-1.8b,humaneval,CPU-Attention,0.5,6.5685081832110885,6.5183945670723915,7.166812443733216,7.2397495895624155,5.538267912715673,5.913574002683163,6.315265035629273,6.335770127177239,0.17187887643242555,2.750062022918809,105.09613093137742,88.61228660345077,121.95,16.0
qwen-1.8b,humaneval,CPU-Attention,0.6,6.6597058698534966,6.617942504584789,7.1582842156291004,7.219037198275328,5.721000835299492,6.1073350459337234,6.435408154129982,6.504852659255266,0.1724979951131907,2.759967921811051,106.55529391765594,91.53601336479187,121.95,16.0
qwen-1.8b,humaneval,CPU-Attention,0.8,6.652331954240799,6.621016815304756,7.026196742057801,7.0717666782438755,5.7511263228952885,6.166897468268871,6.5478624776005745,6.582165456563234,0.17624343537109638,2.819894965937542,106.43731126785278,92.01802116632462,121.95,16.0
qwen-1.8b,longbench-qasper,AFD,0.1,6.939655387898286,2.392563581466675,18.851768755912794,26.42455859184267,1.6002627977894412,1.3251726627349854,2.5503779649734497,2.5537665247917176,0.09940790058296044,0.7853224146053874,20.34861077070236,9.090445017814636,512.0,7.9
qwen-1.8b,longbench-qasper,AFD,0.15,5.735488160865175,1.980919361114502,16.868695116043092,17.619171929359446,1.747862403674258,1.4431143179535866,2.635692143440247,2.7270654439926147,0.14815877328679625,1.1704543089656902,18.072430312633514,10.646950423717499,512.0,7.9
qwen-1.8b,longbench-qasper,AFD,0.2,5.019177658524778,2.4833864370981855,12.64062750339508,13.21085281372071,1.913993075572782,1.685525231063366,2.6558659791946417,2.936312663555145,0.18661886111467016,1.4742890028058941,18.92254285812378,12.081280946731567,512.0,7.9
